month,territory,district,region,specialty,payer_channel,trx_units,trx_dollars,trx_normalized,nrx,nbrx,market_trx,market_nrx,il17_competitor_a_trx,il17_competitor_b_trx,advanced_other_trx,il17_class_trx,advanced_therapy_trx
2024-07,E-CAR-01,East District 1,East,Cardiology,Commercial,184.934241,25165.851403,184.934241,30.514148,21.665045,1651.198574,305.471736,225.208809,176.949778,1064.105747,587.092828,1651.198574
2024-07,E-CAR-01,East District 1,East,Cardiology,Medicaid,178.073028,18398.505244,169.169377,29.382049,22.036538,1589.937752,294.138483,216.853377,170.384796,1024.626551,565.311201,1589.937752
2024-07,E-CAR-02,East District 2,East,Cardiology,Cash,182.600433,23007.654596,186.252443,30.12907,19.282606,1630.361013,301.616786,222.36675,174.716733,1050.677097,579.683916,1630.361013
2024-07,E-CAR-02,East District 2,East,Cardiology,Medicare Part D,208.557085,25227.064835,204.385941,34.411918,23.400105,1862.116822,344.491613,253.976184,199.552714,1200.030839,662.085983,1862.116822
2024-07,E-END-01,East District 1,East,Endocrinology,Commercial,125.811994,14674.710994,125.811994,25.791458,18.311935,1245.66331,255.360977,176.754816,138.878784,804.217715,441.445595,1245.66331
2024-07,E-END-01,East District 1,East,Endocrinology,Medicaid,118.474634,10492.113637,112.550902,24.287301,18.215474,1173.016184,240.468317,166.44647,130.779369,757.315712,415.700473,1173.016184
2024-07,E-END-02,East District 2,East,Endocrinology,Cash,138.16195,14921.490684,140.92519,28.3232,18.126848,1476.635113,302.710199,215.676612,169.460197,953.336354,523.298759,1476.635113
2024-07,E-END-02,East District 2,East,Endocrinology,Medicare Part D,147.797445,15323.63904,144.841495,30.298476,20.602964,1463.341033,299.984912,207.642445,163.147634,944.753509,518.587524,1463.341033
2024-07,E-PCP-01,East District 1,East,Primary Care,Commercial,112.252447,10668.472702,112.252447,26.379324,18.729321,1305.261027,293.683732,183.653809,144.299422,865.055349,440.205679,1305.261027
2024-07,E-PCP-01,East District 1,East,Primary Care,Medicaid,47.90341,3456.710055,45.508239,11.257301,8.442976,899.199824,202.319962,142.999438,112.356701,595.940275,303.259549,899.199824
2024-07,E-PCP-02,East District 2,East,Primary Care,Cash,83.345864,7334.43603,85.012782,19.586279,12.535218,1179.958258,265.490608,176.176472,138.424371,782.011551,397.946707,1179.958258
2024-07,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,88.269055,7456.969734,86.503672,20.743227,14.105395,1026.384356,230.93648,144.415096,113.469004,680.231202,346.153155,1026.384356
2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,133.891534,18219.96007,133.891534,22.092104,15.685392,1195.460135,221.160124,163.050137,128.110821,770.407643,425.052492,1195.460135
2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,173.348344,17910.350795,164.680926,28.602476,21.451858,1547.753063,286.334316,211.09976,165.864096,997.440863,550.3122,1547.753063
2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,144.534294,18211.320936,147.424979,23.848159,15.262821,1290.48476,238.739681,176.01065,138.294083,831.645734,458.839026,1290.48476
2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,150.684903,18226.845933,147.671205,24.86301,16.906846,1345.400924,248.899171,183.500727,144.179143,867.036152,478.364772,1345.400924
2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,119.069614,13888.279836,119.069614,24.409271,17.330582,1178.907073,241.67595,167.282363,131.436142,761.118953,417.788119,1178.907073
2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,147.740855,13083.930089,140.353812,30.286876,22.715157,1462.780742,299.870051,207.562942,163.085169,944.391775,518.388966,1462.780742
2024-07,N-END-02,North District 2,North,Endocrinology,Cash,89.37675,9652.689041,91.164286,18.322235,11.72623,1102.435392,225.999256,168.734093,132.576787,711.747762,390.68763,1102.435392
2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,111.045445,11513.191774,108.824537,22.764316,15.479734,1099.459854,225.38927,156.00911,122.578587,709.826713,389.633142,1099.459854
2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,86.347932,8206.507462,86.347932,20.291763,14.407151,1155.471572,259.981104,169.87069,133.469828,765.783121,389.688451,1155.471572
2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,95.082332,6861.141045,90.328214,22.344348,16.758261,1556.372277,350.183763,240.694635,189.117213,1031.478098,524.894179,1556.372277
2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,59.842019,5266.097638,61.03886,14.062874,9.000239,963.8061,216.856373,148.515535,116.690778,638.757767,325.048332,963.8061
2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,104.078388,8792.542197,101.99682,24.458421,16.631726,1210.213813,272.298107,170.280406,133.791749,802.063271,408.150542,1210.213813
2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,132.906054,16746.162657,135.564174,21.929497,14.034878,1186.661187,219.532319,161.850037,127.167888,764.737209,421.923978,1186.661187
2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,129.19458,15627.376445,126.610689,21.317105,14.495632,1153.523039,213.401763,157.330289,123.616656,743.381513,410.141526,1153.523039
2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,227.528229,30962.041709,227.528229,37.542158,26.654932,2031.502064,375.827881,277.078824,217.704791,1309.19022,722.311844,2031.502064
2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,161.606668,16697.200855,153.526334,26.665099,19.998824,1442.916673,266.939584,196.801007,154.629364,929.879633,513.037039,1442.916673
2024-07,S-END-01,South District 1,South,Endocrinology,Cash,133.567149,14425.252109,136.238491,27.381266,17.524009,1322.447022,271.101639,187.650129,147.439386,853.790357,468.656664,1322.447022
2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,119.938727,12435.247171,117.539952,24.587439,16.719459,1187.512146,243.43999,168.503391,132.395521,766.674508,420.837638,1187.512146
2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,67.114801,7828.270345,67.114801,13.758535,9.768559,1165.79135,238.987226,193.774163,152.251128,752.651257,413.140093,1165.79135
2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,62.373481,5523.795428,59.254807,12.786564,9.589922,894.740617,183.421826,142.63762,112.072416,577.6571,317.083517,894.740617
2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,53.517534,4709.542894,54.587883,12.576621,8.049036,1198.560358,269.67608,196.39358,154.309242,794.340001,404.220356,1198.560358
2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,63.550706,5368.76368,62.279693,14.934415,10.155402,738.961703,166.266384,103.97394,81.693811,489.743246,249.218457,738.961703
2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,49.790453,4732.084609,49.790453,11.700757,8.307537,758.353976,170.629645,115.34216,90.625983,502.59538,255.758596,758.353976
2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,60.960135,4398.88335,57.912128,14.325632,10.744224,1042.958325,234.665623,162.838296,127.944376,691.215518,351.742806,1042.958325
2024-07,W-CAR-01,West District 1,West,Cardiology,Cash,131.485493,16567.172175,134.115204,21.695105,13.884868,1173.97762,217.18586,160.120113,125.808659,756.563356,417.414265,1173.97762
2024-07,W-CAR-01,West District 1,West,Cardiology,Medicare Part D,129.897765,15712.433671,127.299811,21.43313,14.57453,1159.801473,214.563271,158.186612,124.28948,747.427616,412.373857,1159.801473
2024-07,W-CAR-02,West District 2,West,Cardiology,Commercial,232.523313,31641.772359,232.523313,38.366346,27.240106,2076.101006,384.078685,283.161723,222.484212,1337.931758,738.169247,2076.101006
2024-07,W-CAR-02,West District 2,West,Cardiology,Medicaid,166.793776,17233.132947,158.454088,27.520973,20.640731,1489.230142,275.507577,203.117754,159.59252,959.726092,529.50405,1489.230142
